,Day,Return
683,23,0.99014134
684,22,1.00196553
685,21,1.0313962
686,20,1.00312858
687,19,1.0208666
688,16,0.98852873
689,15,1.00152833
690,14,1.00577759
691,13,0.98614814
692,12,1.00383041
693,9,0.97115777
694,8,0.9923641
695,7,0.98830526
696,6,1.0246313
697,5,1.0043201
698,2,1.03211423
699,1,1.00894387
700,31,1.00144811
701,30,0.98802395
702,29,1.01174137
703,26,1.00549865
704,25,0.99935352
705,24,0.98634359
706,23,0.99513511
707,22,0.97913431
708,19,0.97822123
709,18,1.00269158
710,17,0.99474615
711,16,0.99939415
712,15,1.00441176
713,12,0.98723404
714,11,0.99082341
715,10,1.01520798
716,9,1.00597771
717,8,1.00111573
718,5,0.96884827
719,4,0.99681638
720,3,0.98991515
721,2,1.00850814
722,1,1.00550666
723,29,1.0082788
724,28,0.99066889
725,27,1.03676171
726,26,1.00403865
727,25,0.99623122
728,22,0.9920675
729,21,1.01973311
730,20,0.97478781
731,19,0.99306733
732,18,0.99095537
733,15,0.99596357
734,14,0.99769178
735,13,1.00956914
736,12,0.99418347
737,11,1.0000986
738,8,1.03016607
739,7,0.97984674
740,6,1.00772239
741,5,0.98115621
742,4,1.02859312
743,1,1.05572474
744,30,1.02301049
745,29,1.02936874
746,28,1.0018601
747,27,1.00005637
748,24,1.02584861
749,23,1.00191194
750,22,0.99861143
751,21,0.98788294
752,20,1.0001715
753,17,1.01762653
754,16,0.98094042
755,15,1.00747384
756,14,0.99679083
757,13,1.00657591
758,10,1.0030666
759,9,1.01443916
760,8,1.0390949
761,7,0.99502367
762,6,1.00383795
763,3,1.02645073
764,2,1.0020678
765,1,0.9975622
766,31,1.00031264
767,30,0.985276
768,27,0.99448597
769,26,1.00024513
770,25,1.00591789
771,24,0.99023318
772,23,0.99128646
773,20,1.0023655
774,19,0.97544669
775,18,0.9799397
776,17,1.00577293
777,16,1.00216223
778,13,1.00747719
779,12,0.9750287
780,11,1.01740451
781,10,1.00575658
782,9,0.97408022
783,6,1.00813336
784,5,0.99787026
785,4,0.99690136
786,3,0.99338768
787,2,0.98324179
788,29,1.01600137
789,28,1.01838321
790,27,1.00448535
791,26,1.00958598
792,25,1.00223977
793,22,0.99770656
794,21,1.00247598
795,20,1.00147597
796,19,1.04394453
797,18,0.99926095
798,15,1.00495141
799,14,0.99623875
800,13,1.00166759
801,12,1.01663946
802,11,1.03671397
803,8,1.00860088
804,7,1.01061642
805,6,0.99537679
806,5,1.01447236
807,4,0.99156258
808,1,0.97499676
809,31,1.01438991
810,30,0.99069132
811,29,1.00800525
812,28,1.00203827
813,25,1.00131674
814,24,0.99567355
815,23,0.96052134
816,22,1.00290477
817,21,1.0019614
818,18,0.99327552
819,17,1.01856356
820,16,1.0222484
821,15,0.99563489
822,14,0.99083339
823,11,0.99250384
824,10,1.02039749
825,9,0.99609273
826,8,0.98184143
827,7,1.00760211
828,4,1.01937348
829,3,1.01791564
830,2,1.00842659
831,1,0.9952365
832,29,1.01325629
833,26,0.97070081
834,25,0.99409604
835,24,0.99633987
836,23,1.00790514
837,22,0.98879625
838,19,0.99688312
839,18,1.00752372
840,17,1.00394089
841,16,0.99347471
842,15,0.97276882
843,12,1.0
844,11,1.03135843
845,10,1.00196786
846,9,0.99549432
847,8,1.02127376
848,5,1.00867752
849,4,1.0126703
850,3,1.02621461
851,2,0.99686411
852,1,1.00617024
853,29,1.00049106
854,28,0.98405357
855,27,0.99869011
856,26,1.01896733
857,25,1.01425009
858,22,0.99602583
859,21,0.9951974
860,20,1.00955437
861,19,1.00465616
862,18,1.00258546
863,15,1.00548816
864,14,0.97865724
865,13,1.02632915
866,12,0.99437432
867,11,0.9946198
868,8,0.97468885
869,7,1.0207694
870,6,1.00221745
871,5,1.00720461
872,4,1.00267283
873,1,0.99949458
874,31,0.99690492
875,30,0.99555715
876,29,1.00143524
877,28,0.96979609
878,25,0.99923505
879,24,1.00475126
880,23,1.00294324
881,22,1.001755
882,21,1.01057037
883,18,1.02740525
884,17,0.96824277
885,16,1.02867514
886,15,1.00694444
887,14,0.98275862
888,11,0.98569608
889,10,0.99654223
890,9,0.99971781
891,8,0.99473684
892,7,0.97938144
893,4,1.03118356
894,3,1.00713776
895,2,0.98689772
896,1,1.00795229
897,30,0.99957417
898,27,0.98634932
899,26,1.00634026
900,25,0.9997887
901,24,1.00381787
902,23,0.99710962
903,20,0.99404345
904,19,1.00620505
905,18,0.99697715
906,17,0.99789548
907,16,0.99929898
908,13,0.99727349
909,12,0.99783746
910,11,0.9930036
911,10,0.99107511
912,9,0.98538763
913,6,0.9865848
914,5,0.99317248
915,4,0.98743291
916,3,0.99059846
917,2,0.9918328
918,30,0.99653935
919,29,0.97892095
920,28,1.00333606
921,27,1.00265068
922,26,1.00063151
923,23,0.99873857
924,22,1.00922979
925,21,0.98711907
926,20,1.00448119
927,19,0.98741119
928,16,0.99510078
929,15,0.99950412
930,14,1.01369777
931,13,1.00492518
932,12,0.99968438
933,9,1.00904459
934,8,0.97758406
935,7,1.01108033
936,6,1.01495208
937,5,1.02629681
938,2,1.04840151
939,1,1.00206683
940,30,0.99139403
941,29,1.00280822
942,28,0.9664394
943,25,0.99749092
944,24,1.0240027
945,23,1.0005412
946,22,0.9721802
947,21,1.0016469
948,18,1.00191407
949,17,1.01616365
950,16,1.03362218
951,15,0.99896122
952,14,0.988026
953,11,0.99489449
