,Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA,newColumn
292,2018,4,2,16.422,16.694000000000003,16.399,16.601,11480,1.01460702,52.19567252,-0.03834062,2.02921404
293,2018,3,29,16.327,16.387999999999998,16.223,16.362000000000002,11228,1.00380368,45.69776752,-0.05396434,29.110306720000004
296,2018,3,26,16.585,16.791,16.531,16.705,11399,1.00832981,54.7183992,-0.03913621,26.21657506
297,2018,3,23,16.391,16.673,16.387999999999998,16.567,16586,1.01086094,51.03305019,-0.06299373,23.24980162
299,2018,3,21,16.180999999999997,16.656,16.18,16.570999999999998,18076,1.02264873,50.97116379,-0.07897511,21.47562333
305,2018,3,13,16.533,16.673,16.458,16.593,14769,1.00235593,49.04636346,-0.0542266,13.03062709
307,2018,3,9,16.498,16.697,16.357,16.6,23738,1.00496428,49.11672915,-0.06610027,9.04467852
308,2018,3,8,16.503,16.575,16.427,16.518,25300,1.00109091,46.65448775,-0.07559125,8.00872728
310,2018,3,6,16.426,16.866,16.397000000000002,16.752,17771,1.01922609,52.98472382,-0.0786875,6.1153565400000005
312,2018,3,2,16.495,16.58,16.391,16.511,19301,1.00218513,45.22226672,-0.10205785,2.00437026
313,2018,3,1,16.433,16.552,16.167,16.475,22101,1.00359405,44.01422897,-0.10604845,1.00359405
316,2018,2,26,16.517,16.781,16.492,16.660999999999998,17129,1.0073156,48.0652179,-0.08800816,26.190205600000002
318,2018,2,22,16.526,16.69,16.406,16.617,18075,1.00709091,46.35482911,-0.0960945,22.15600002
319,2018,2,21,16.456,16.778,16.392,16.5,21979,1.00230835,42.89436056,-0.10062002,21.04847535
323,2018,2,15,16.855999999999998,16.985,16.648,16.868,22539,1.00089005,51.13702525,-0.07826539,15.013350749999999
324,2018,2,14,16.564,16.935,16.378,16.852999999999998,27282,1.01689495,50.78613874,-0.09718597,14.236529299999999
325,2018,2,13,16.576,16.691,16.459,16.573,13719,1.00120824,43.78955784,-0.11839463,13.01570712
326,2018,2,12,16.351,16.625,16.331,16.553,14846,1.0127256,43.2544796,-0.11523338,12.1527072
328,2018,2,8,16.392,16.474,16.253,16.419,26474,1.00250336,38.80774116,-0.07485591,8.02002688
331,2018,2,5,16.635,16.925,16.56,16.736,24822,1.0080106,44.07615269,0.04468383,5.040053
334,2018,1,31,17.137,17.395,17.1,17.335,22643,1.01190824,57.86649679,0.14658735,31.369155439999997
337,2018,1,26,17.299,17.549,17.250999999999998,17.41,25014,1.00606761,61.34211391,0.17434756,26.157757859999997
339,2018,1,24,17.048,17.627,16.993,17.557000000000002,16128,1.02991729,67.71232011,0.16142016,24.718014959999998
340,2018,1,23,17.002,17.101,16.750999999999998,17.047,12636,1.00193958,55.64268328,0.12881093,23.04461034
342,2018,1,19,16.961,17.132,16.956,17.026,9138,1.00460231,55.05060893,0.14936993,19.087443890000003
346,2018,1,15,17.224,17.427,17.214000000000002,17.352,9694,1.00649652,67.49260953,0.20242428,15.0974478
347,2018,1,12,16.992,17.285999999999998,16.987000000000002,17.24,13593,1.014416,65.13734992,0.18510325,12.172992
348,2018,1,11,16.989,17.052,16.872,16.995,13075,1.00159123,59.12120742,0.17170654,11.01750353
353,2018,1,4,17.123,17.278,16.987000000000002,17.226,10293,1.00531077,68.22858412,0.15180536,4.02124308
355,2018,1,2,16.975,17.208,16.938,17.19,8659,1.01469807,68.5736074,0.07634313,2.02939614
356,2017,12,29,16.857,17.114,16.82,16.941,6840,1.00540059,64.09037594,0.01988196,29.156617110000003
357,2017,12,28,16.682000000000002,16.887,16.657,16.85,5945,1.01001019,62.26347104,-0.02711948,28.28028532
358,2017,12,27,16.554000000000002,16.725,16.487000000000002,16.683,5284,1.00797535,58.68133784,-0.07745049,27.215334449999997
359,2017,12,26,16.371,16.57,16.298,16.551,5397,1.01062466,55.58703878,-0.12356098,26.276241159999998
360,2017,12,22,16.128,16.424,16.115,16.377,5142,1.01518721,51.10505102,-0.16717747,22.334118619999998
362,2017,12,20,16.137,16.266,16.105,16.179000000000002,5182,1.00229216,44.88840177,-0.22014572,20.0458432
364,2017,12,18,16.041,16.174,16.012999999999998,16.142,5175,1.00585743,43.74393601,-0.2671218,18.105433740000002
365,2017,12,15,15.895999999999999,16.085,15.894,16.048,6679,1.00937166,41.0628827,-0.29275305,15.1405749
367,2017,12,13,15.732000000000001,16.155,15.674000000000001,16.073,11352,1.02219537,39.87898443,-0.31603985,13.28853981
368,2017,12,12,15.717,15.821,15.620999999999999,15.724,6250,1.00070006,27.91833554,-0.33477672,12.008400720000001
370,2017,12,8,15.728,15.9,15.710999999999999,15.849,9616,1.00846271,29.47820823,-0.29149221,8.06770168
375,2017,12,1,16.432000000000002,16.558,16.245,16.442999999999998,16528,1.00030417,36.31844286,-0.10829787,1.00030417
379,2017,11,27,17.057000000000002,17.199,17.015,17.054000000000002,11812,1.00088033,50.4445862,0.0120409,27.02376891
382,2017,11,22,16.972,17.169,16.953,17.15,10370,1.01078564,53.00824327,0.01146166,22.23728408
383,2017,11,21,16.926,17.061,16.914,16.967,11543,1.00277778,48.49359382,0.00164701,21.05833338
385,2017,11,17,17.084,17.387999999999998,17.035,17.308,12794,1.01328962,57.64835896,0.02016424,17.225923539999997
386,2017,11,16,16.994,17.132,16.961,17.081,10734,1.0051786,51.92479174,-0.00376228,16.0828576
389,2017,11,13,16.875999999999998,17.077,16.832,17.051,8795,1.00893491,51.01175655,-0.01487857,13.11615383
392,2017,11,8,16.953,17.256,16.953,17.04,11929,1.00536905,50.50725271,-0.01555415,8.0429524
394,2017,11,6,16.869,17.268,16.804000000000002,17.227,11549,1.02273807,54.98333853,-0.01772048,6.13642842
397,2017,11,1,16.711,17.198,16.674,17.133,17253,1.02463967,53.3554658,-0.04962064,1.02463967
400,2017,10,27,16.803,16.868,16.608,16.859,14461,1.00404979,44.56262993,-0.04920328,27.109344330000003
402,2017,10,25,16.944000000000003,17.041,16.813,16.958,13008,1.00041295,46.60531097,-0.02139583,25.01032375
404,2017,10,23,17.016,17.111,16.865,17.090999999999998,11021,1.00299296,50.05877624,-0.00359159,23.068838080000003
406,2017,10,19,17.007,17.291,16.915,17.26,13394,1.01511498,54.7020276,-0.00048831,19.287184619999998
410,2017,10,13,17.253,17.414,17.185,17.406,9626,1.00974591,59.91856026,-0.02732578,13.126696829999998
411,2017,10,12,17.174,17.265,17.116,17.238,7888,1.00390193,55.73719344,-0.06582385,12.04682316
412,2017,10,11,17.125999999999998,17.239,17.062,17.171,9523,1.00315476,53.9584823,-0.09689849,11.034702359999999
